X_coordinate,S22_Stress,U2_Displacement
0.000000,-3.773507,-0.000124
0.100000,-3.771165,-0.000124
0.200000,-3.778758,-0.000125
0.300000,-3.791411,-0.000125
0.400000,-3.812928,-0.000125
0.500000,-3.834870,-0.000126
0.600000,-3.866441,-0.000126
0.700000,-3.899276,-0.000127
0.800000,-3.941624,-0.000127
0.900000,-3.985547,-0.000128
1.000000,-4.039044,-0.000129
1.100000,-4.094769,-0.000130
1.200000,-4.159880,-0.000131
1.300000,-4.227447,-0.000132
1.400000,-4.304056,-0.000133
1.500000,-4.382949,-0.000134
1.600000,-4.470802,-0.000135
1.700000,-4.558651,-0.000137
1.800000,-4.654758,-0.000138
1.900000,-4.746140,-0.000139
2.000000,-4.848215,-0.000140
2.100000,-4.934863,-0.000141
2.200000,-5.036262,-0.000143
2.300000,-5.138968,-0.000144
2.400000,-5.251205,-0.000145
2.500000,-5.328016,-0.000146
2.600000,-5.368589,-0.000147
2.700000,-5.549609,-0.000148
2.800000,-5.652628,-0.000149
2.900000,-5.783659,-0.000150
3.000000,-5.884308,-0.000150
3.100000,-5.978783,-0.000150
3.200000,-6.090405,-0.000151
3.300000,-6.169549,-0.000151
3.400000,-6.131625,-0.000150
3.500000,-6.064843,-0.000149
3.600000,-5.956497,-0.000148
3.700000,-5.737009,-0.000147
3.800000,-5.391953,-0.000146
3.900000,-5.936203,-0.000145
4.000000,-6.144570,-0.000146
4.100000,-5.775752,-0.000143
4.200000,-6.017565,-0.000142
4.300000,-5.807740,-0.000139
4.400000,-5.930496,-0.000138
4.500000,-5.484592,-0.000134
4.600000,-6.033774,-0.000133
4.700000,-5.032338,-0.000128
4.800000,-5.530340,-0.000126
4.900000,-2.407946,-0.000120
5.000000,-6.431615,-0.000123
5.100000,-2.536474,-0.000110
5.200000,-7.456739,-0.000116
5.300000,-6.894403,-0.000104
5.400000,-8.976800,-0.000106
5.500000,-8.916270,-0.000097
5.600000,-10.047721,-0.000096
5.700000,-9.136634,-0.000088
5.800000,-10.337727,-0.000087
5.900000,-8.921110,-0.000078
6.000000,-9.640978,-0.000074
6.100000,-9.170868,-0.000069
6.200000,-8.170300,-0.000055
6.300000,-8.933077,-0.000064
6.400000,-7.689219,-0.000001
6.500000,-6.115893,-0.000026
6.600000,-8.759111,0.000696
6.700000,-8.219002,0.002354
6.800000,-12.307717,0.004862
6.900000,-11.135221,0.007203
7.000000,-12.386697,0.010178
7.100000,-12.547161,0.014856
7.200000,-15.044011,0.020069
7.300000,-15.320456,0.030002
7.400000,-23.395416,0.040411
7.500000,-18.445858,0.058623
7.600000,-31.422222,0.078007
7.700000,-26.608871,0.106586
7.800000,-33.857395,0.134687
7.900000,-33.804905,0.181126
8.000000,-14.035955,0.234086
8.100000,-62.300240,0.315649
8.200000,-65.786835,0.427347
8.300000,-76.560394,0.558683
8.400000,-135.890060,0.681950
8.500000,-5.433388,0.785855
8.600000,-191.719482,0.864603
8.700000,-259.891724,0.927426
8.800000,-123.685150,0.985691
8.900000,-288.918396,1.036013
9.000000,-256.154602,1.063350
9.100000,-162.816162,1.068378
9.200000,-139.353180,1.070717
9.300000,-21.293880,1.060272
9.400000,-17.185989,1.038424
9.500000,-8.886604,1.054483
9.600000,-47.973152,1.065187
9.700000,-26.194733,1.077175
9.800000,-8.245766,1.087479
9.900000,-18.106892,1.093207
10.000000,-23.472839,1.097229
10.100000,-18.106915,1.093207
10.200000,-8.245816,1.087479
10.300000,-26.194717,1.077175
10.400000,-47.973289,1.065187
10.500000,-8.886570,1.054483
10.600000,-17.186222,1.038424
10.700000,-21.293839,1.060272
10.800000,-139.353363,1.070717
10.900000,-162.816376,1.068378
11.000000,-256.154724,1.063350
11.100000,-288.918854,1.036013
11.200000,-123.685341,0.985691
11.300000,-259.892242,0.927427
11.400000,-191.719757,0.864603
11.500000,-5.432774,0.785856
11.600000,-135.890839,0.681951
11.700000,-76.560791,0.558683
11.800000,-65.785591,0.427347
11.900000,-62.300598,0.315649
12.000000,-14.036501,0.234086
12.100000,-33.803833,0.181126
12.200000,-33.857315,0.134687
