X_coordinate,S22_Stress,U2_Displacement
0.000000,-10.159726,-0.000314
0.100000,-10.162846,-0.000314
0.200000,-10.170055,-0.000314
0.300000,-10.182797,-0.000314
0.400000,-10.200239,-0.000315
0.500000,-10.223006,-0.000315
0.600000,-10.250425,-0.000316
0.700000,-10.283587,-0.000316
0.800000,-10.321304,-0.000317
0.900000,-10.365025,-0.000318
1.000000,-10.413338,-0.000319
1.100000,-10.468128,-0.000320
1.200000,-10.527454,-0.000321
1.300000,-10.594046,-0.000322
1.400000,-10.664942,-0.000324
1.500000,-10.744221,-0.000325
1.600000,-10.827210,-0.000326
1.700000,-10.920438,-0.000328
1.800000,-11.018110,-0.000329
1.900000,-11.128122,-0.000331
2.000000,-11.238033,-0.000333
2.100000,-11.357337,-0.000334
2.200000,-11.487900,-0.000336
2.300000,-11.578957,-0.000338
2.400000,-11.637018,-0.000339
2.500000,-11.718588,-0.000340
2.600000,-11.790426,-0.000342
2.700000,-11.808746,-0.000343
2.800000,-11.864817,-0.000344
2.900000,-11.904683,-0.000345
3.000000,-11.935627,-0.000346
3.100000,-11.968472,-0.000347
3.200000,-12.007339,-0.000348
3.300000,-12.035214,-0.000349
3.400000,-12.078362,-0.000350
3.500000,-12.122473,-0.000351
3.600000,-12.165314,-0.000353
3.700000,-12.207693,-0.000354
3.800000,-12.257351,-0.000355
3.900000,-12.298354,-0.000356
4.000000,-12.353920,-0.000357
4.100000,-12.412155,-0.000358
4.200000,-12.490313,-0.000360
4.300000,-12.809383,-0.000362
4.400000,-13.185207,-0.000364
4.500000,-13.590864,-0.000366
4.600000,-13.774492,-0.000368
4.700000,-13.933303,-0.000369
4.800000,-13.963568,-0.000370
4.900000,-14.003749,-0.000370
5.000000,-13.993808,-0.000370
5.100000,-13.809311,-0.000369
5.200000,-13.974825,-0.000368
5.300000,-13.612932,-0.000367
5.400000,-13.322674,-0.000365
5.500000,-13.563851,-0.000362
5.600000,-13.409624,-0.000362
5.700000,-14.270309,-0.000363
5.800000,-17.696060,-0.000361
5.900000,-13.695878,-0.000353
6.000000,-26.514894,-0.000368
6.100000,-22.831516,-0.000340
6.200000,-33.172054,-0.000363
6.300000,-35.043747,-0.000335
6.400000,-43.507240,-0.000349
6.500000,-41.706173,-0.000329
6.600000,-47.969746,-0.000336
6.700000,-44.323387,-0.000319
6.800000,-45.258339,-0.000325
6.900000,-44.246029,-0.000304
7.000000,-41.329559,-0.000310
7.100000,-44.583263,-0.000285
7.200000,-57.516319,-0.000280
7.300000,-49.786537,-0.000275
7.400000,-70.525391,-0.000248
7.500000,-74.658005,-0.000246
7.600000,-108.568718,-0.000001
7.700000,-98.454475,-0.000481
7.800000,-101.284042,0.000997
7.900000,-4.455385,-0.000178
