X_coordinate,S22_Stress,U2_Displacement
0.000000,-1.635271,-0.000050
0.100000,-1.634583,-0.000050
0.200000,-1.635499,-0.000050
0.300000,-1.637542,-0.000050
0.400000,-1.635994,-0.000050
0.500000,-1.635234,-0.000050
0.600000,-1.642504,-0.000050
0.700000,-1.647415,-0.000050
0.800000,-1.649544,-0.000050
0.900000,-1.653551,-0.000050
1.000000,-1.658750,-0.000050
1.100000,-1.663212,-0.000051
1.200000,-1.669318,-0.000051
1.300000,-1.675762,-0.000051
1.400000,-1.683656,-0.000051
1.500000,-1.691791,-0.000051
1.600000,-1.700538,-0.000051
1.700000,-1.708082,-0.000051
1.800000,-1.720699,-0.000051
1.900000,-1.731481,-0.000051
2.000000,-1.743558,-0.000052
2.100000,-1.757763,-0.000052
2.200000,-1.773317,-0.000052
2.300000,-1.786705,-0.000052
2.400000,-1.806895,-0.000052
2.500000,-1.826071,-0.000052
2.600000,-1.845907,-0.000053
2.700000,-1.866015,-0.000053
2.800000,-1.895249,-0.000053
2.900000,-1.922895,-0.000053
3.000000,-1.952274,-0.000053
3.100000,-1.982497,-0.000053
3.200000,-2.026396,-0.000054
3.300000,-2.066634,-0.000054
3.400000,-2.116255,-0.000054
3.500000,-2.169370,-0.000054
3.600000,-2.237111,-0.000054
3.700000,-2.301893,-0.000054
3.800000,-2.395137,-0.000054
3.900000,-2.486636,-0.000054
4.000000,-2.618186,-0.000054
4.100000,-2.739606,-0.000054
4.200000,-2.914744,-0.000053
4.300000,-2.897227,-0.000052
4.400000,-2.830220,-0.000051
4.500000,-2.616958,-0.000049
4.600000,-2.540864,-0.000047
4.700000,-2.138885,-0.000044
4.800000,-2.227599,-0.000042
4.900000,-2.142820,-0.000038
5.000000,-1.565838,-0.000033
5.100000,0.098689,-0.000034
5.200000,0.586732,0.000002
5.300000,2.878709,0.000184
5.400000,0.166166,0.000508
5.500000,0.939287,0.001363
5.600000,-1.993825,0.002446
5.700000,-2.416307,0.004672
5.800000,-4.795182,0.007253
5.900000,-5.238664,0.011405
6.000000,-6.076629,0.015941
6.100000,-6.646670,0.021741
6.200000,-5.855428,0.027771
6.300000,-6.407113,0.034120
6.400000,-5.381840,0.040455
6.500000,-5.247149,0.046289
6.600000,-4.759881,0.051951
6.700000,-4.153323,0.057587
6.800000,-4.695788,0.063070
6.900000,-4.040924,0.069556
7.000000,-6.457122,0.076125
7.100000,-5.326170,0.085193
7.200000,-9.604885,0.094486
7.300000,-8.761128,0.108617
7.400000,-12.964018,0.122670
7.500000,-13.915117,0.144397
7.600000,-15.080374,0.165847
7.700000,-17.427593,0.185878
7.800000,-19.434914,0.209278
7.900000,-1.033451,0.237312
8.000000,24.388046,0.272608
8.100000,-33.038555,0.310855
8.200000,73.624496,0.359874
8.300000,2.732874,0.434757
8.400000,-26.648773,0.521573
8.500000,38.528091,0.605109
8.600000,35.882408,0.701550
8.700000,9.971476,0.810542
8.800000,-37.178696,0.931105
8.900000,-4.919814,1.046839
9.000000,-1.414187,1.141500
9.100000,-46.078548,1.192143
9.200000,-43.311981,1.236023
9.300000,-55.791958,1.257270
9.400000,-32.649498,1.271482
9.500000,-8.582023,1.284703
9.600000,-9.973075,1.293896
9.700000,0.941975,1.300797
9.800000,-2.982488,1.306949
9.900000,-6.077975,1.309089
10.000000,-3.010000,1.310535
10.100000,-6.077983,1.309089
10.200000,-2.982505,1.306949
10.300000,0.941956,1.300797
10.400000,-9.973079,1.293896
10.500000,-8.582044,1.284703
10.600000,-32.649521,1.271482
10.700000,-55.791950,1.257270
10.800000,-43.312031,1.236023
10.900000,-46.078606,1.192143
11.000000,-1.414013,1.141500
11.100000,-4.920157,1.046839
11.200000,-37.178684,0.931105
11.300000,9.971323,0.810542
11.400000,35.882664,0.701550
11.500000,38.528137,0.605110
11.600000,-26.649191,0.521573
11.700000,2.732799,0.434757
11.800000,73.624527,0.359874
11.900000,-33.038544,0.310855
12.000000,24.387451,0.272608
12.100000,-1.032578,0.237312
12.200000,-19.436857,0.209278
12.300000,-17.426964,0.185878
12.400000,-15.080263,0.165848
12.500000,-13.915092,0.144397
12.600000,-12.963852,0.122670
12.700000,-8.761018,0.108617
12.800000,-9.604678,0.094486
12.900000,-5.326345,0.085193
13.000000,-6.456986,0.076125
13.100000,-4.040730,0.069556
13.200000,-4.695915,0.063070
13.300000,-4.153413,0.057587
13.400000,-4.759640,0.051951
13.500000,-5.247159,0.046289
13.600000,-5.381754,0.040455
13.700000,-6.407176,0.034120
13.800000,-5.855484,0.027771
13.900000,-6.646592,0.021741
14.000000,-6.076746,0.015941
14.100000,-5.238660,0.011405
14.200000,-4.795111,0.007253
14.300000,-2.416462,0.004672
14.400000,-1.993581,0.002446
14.500000,0.939295,0.001363
14.600000,0.166046,0.000508
14.700000,2.878758,0.000184
14.800000,0.586704,0.000002
14.900000,0.098686,-0.000034
15.000000,-1.565834,-0.000033
15.100000,-2.142811,-0.000038
15.200000,-2.227609,-0.000042
15.300000,-2.138889,-0.000044
15.400000,-2.540858,-0.000047
15.500000,-2.616956,-0.000049
15.600000,-2.830223,-0.000051
