X_coordinate,S22_Stress,U2_Displacement
19.000000,-5.480995,-0.000176
19.100000,-5.432077,-0.000175
19.200000,-5.390264,-0.000174
19.300000,-5.351892,-0.000173
19.400000,-5.320435,-0.000172
19.500000,-5.292267,-0.000172
19.600000,-5.271105,-0.000171
19.700000,-5.252506,-0.000171
19.800000,-5.240266,-0.000170
19.900000,-5.233389,-0.000170
20.000000,-5.233467,-0.000170
